EQUIPO_NOMBRE,JUGADOR_NOMBRE,GOLES_24M,PENALES_24M,PARTIDOS_EQUIPO_24M,GOLES_POR_PARTIDO,XG_ESTIMADO_PARTIDO,REMATES_ARCO_ESTIMADOS,REMATES_TOTALES_ESTIMADOS,PARTIDOS_MARCANDO_DE_5,PROB_MARCAR
CMR,Bryan Mbeumo,2,0,22,0.091,0.104,0.32,1.03,0,0.126
CMR,Christian Kofane,2,0,22,0.091,0.104,0.32,1.03,2,0.126
CMR,Vincent Aboubakar,2,1,22,0.091,0.104,0.32,1.03,0,0.126
CMR,Arthur Avom,1,0,22,0.045,0.068,0.21,0.67,0,0.084
CMR,Georges-Kévin Nkoudou,1,0,22,0.045,0.068,0.21,0.67,0,0.084
CMR,Junior Tchamadeu,1,0,22,0.045,0.068,0.21,0.67,1,0.084
CMR,Karl Etta Eyong,1,0,22,0.045,0.068,0.21,0.67,0,0.084
CMR,Moumi Ngamaleu,1,0,22,0.045,0.068,0.21,0.67,0,0.084
COD,Yoane Wissa,5,1,28,0.179,0.174,0.54,1.72,2,0.202
COD,Cédric Bakambu,4,0,28,0.143,0.144,0.45,1.43,0,0.171
COD,Fiston Mayele,2,0,28,0.071,0.085,0.27,0.85,1,0.105
COD,Gaël Kakuta,2,1,28,0.071,0.085,0.27,0.85,0,0.105
COD,Nathanaël Mbuku,2,0,28,0.071,0.085,0.27,0.85,0,0.105
COD,Théo Bongonda,2,0,28,0.071,0.085,0.27,0.85,0,0.105
COD,Axel Tuanzebe,1,0,28,0.036,0.056,0.17,0.55,0,0.07
COD,Brian Cipenga,1,0,28,0.036,0.056,0.17,0.55,1,0.07
COL,Luis Díaz,6,0,25,0.24,0.223,0.69,2.21,1,0.251
COL,Luis Suárez,4,0,25,0.16,0.158,0.49,1.57,0,0.186
COL,Daniel Muñoz,2,0,25,0.08,0.094,0.29,0.93,2,0.115
COL,James Rodríguez,2,1,25,0.08,0.094,0.29,0.93,0,0.115
COL,Jhon Córdoba,2,0,25,0.08,0.094,0.29,0.93,0,0.115
COL,Jhon Durán,2,0,25,0.08,0.094,0.29,0.93,0,0.115
COL,Juan Fernando Quintero,2,0,25,0.08,0.094,0.29,0.93,0,0.115
COL,Andrés Gómez,1,0,25,0.04,0.061,0.19,0.61,0,0.077
COM,Rafiki Saïd,2,0,25,0.08,0.094,0.29,0.93,0,0.115
COM,Myziane Maolida,1,0,25,0.04,0.061,0.19,0.61,0,0.077
COM,Youssouf M'Changama,1,0,25,0.04,0.061,0.19,0.61,0,0.077
CPV,Dailon Livramento,4,0,25,0.16,0.158,0.49,1.57,0,0.186
CPV,Sidny Lopes Cabral,2,0,25,0.08,0.094,0.29,0.93,1,0.115
CPV,Willy Semedo,2,0,25,0.08,0.094,0.29,0.93,0,0.115
CPV,Deroy Duarte,1,0,25,0.04,0.061,0.19,0.61,1,0.077
CPV,Diney,1,0,25,0.04,0.061,0.19,0.61,0,0.077
