date,home_team,away_team,home_goals,away_goals,home_shots_on,away_shots_on,home_shots_off,away_shots_off,home_corners,away_corners,home_yellow,away_yellow,home_red,away_red,odd_home,odd_draw,odd_away,odd_home_pin,odd_draw_pin,odd_away_pin,referee,tournament,stadium,MATCH_ID,elo_diff,home_xg,away_xg,home_possession,away_possession
2023-10-22,Olympiakos,Panathinaikos,0,3,3.0,3.0,9.0,5.0,7.0,4.0,2.0,1.0,0.0,0.0,1.91,3.2,4.5,1.96,3.23,4.4,,Super League,,20231022_Olympiakos_Panathinaikos,21.367962380375957,0.87,0.6,55.0,45.0
2023-10-22,PAOK,Atromitos,2,0,5.0,3.0,10.0,3.0,8.0,1.0,3.0,3.0,0.0,0.0,1.29,5.0,13.0,1.28,5.55,11.03,,Super League,,20231022_PAOK_Atromitos,73.51655660414781,1.74,0.95,54.6,45.4
2023-10-28,Atromitos,Panetolikos,3,2,5.0,3.0,5.0,3.0,1.0,2.0,2.0,2.0,0.0,1.0,1.8,3.5,4.75,1.74,3.69,4.94,,Super League,,20231028_Atromitos_Panetolikos,-19.828429573235553,1.87,1.17,50.6,49.4
2023-10-28,Volos NFC,Kifisia,2,1,6.0,2.0,11.0,7.0,4.0,8.0,4.0,6.0,0.0,2.0,2.3,3.3,3.25,2.72,3.23,2.73,,Super League,,20231028_Volos-NFC_Kifisia,-38.18599070459959,1.95,0.52,42.1,57.9
2023-10-29,Aris,Giannina,2,0,7.0,0.0,10.0,2.0,6.0,1.0,4.0,2.0,0.0,1.0,1.44,4.2,8.5,1.48,4.11,7.59,,Super League,,20231029_Aris_Giannina,47.894564898287626,1.34,0.13,51.6,48.4
2023-10-29,Asteras Tripolis,Lamia,0,1,5.0,4.0,6.0,6.0,5.0,2.0,2.0,3.0,0.0,0.0,1.95,3.2,4.5,1.89,3.25,4.75,,Super League,,20231029_Asteras-Tripolis_Lamia,-32.72220389667609,1.01,0.46,48.0,52.0
2023-10-29,Panathinaikos,Panserraikos,5,0,6.0,1.0,7.0,6.0,7.0,1.0,2.0,4.0,0.0,1.0,1.22,5.75,15.0,1.19,6.75,14.98,,Super League,,20231029_Panathinaikos_Panserraikos,55.98047434770524,1.16,1.22,55.8,44.2
2023-10-30,AEK,PAOK,2,0,3.0,2.0,12.0,2.0,5.0,2.0,4.0,5.0,0.0,0.0,1.73,3.5,5.25,1.6,4.01,5.67,,Super League,,20231030_AEK_PAOK,1.9427850341564863,1.73,1.04,51.7,48.3
2023-10-30,OFI Crete,Olympiakos,0,2,0.0,3.0,4.0,10.0,2.0,3.0,1.0,3.0,0.0,0.0,6.5,4.0,1.55,5.06,3.89,1.68,,Super League,,20231030_OFI-Crete_Olympiakos,-31.2525652480424,1.13,1.56,46.5,53.5
2023-11-04,Kifisia,AEK,1,1,2.0,6.0,5.0,12.0,5.0,8.0,2.0,2.0,0.0,0.0,13.0,8.0,1.18,10.38,6.08,1.26,,Super League,,20231104_Kifisia_AEK,-87.11715866863665,0.3,1.12,53.4,46.6
2023-11-04,Lamia,Panathinaikos,1,2,4.0,6.0,9.0,3.0,3.0,3.0,3.0,6.0,0.0,1.0,8.0,4.2,1.45,8.66,4.34,1.42,,Super League,,20231104_Lamia_Panathinaikos,-44.97143285760376,0.67,1.0,44.5,55.5
2023-11-05,Aris,Atromitos,1,3,5.0,6.0,11.0,2.0,9.0,2.0,3.0,4.0,0.0,0.0,1.53,3.8,7.0,1.51,4.11,6.82,,Super League,,20231105_Aris_Atromitos,53.025571078129815,1.5,0.66,52.1,47.9
2023-11-05,Giannina,Volos NFC,1,1,3.0,2.0,9.0,9.0,4.0,7.0,5.0,2.0,0.0,0.0,1.95,3.25,4.33,2.0,3.22,4.23,,Super League,,20231105_Giannina_Volos-NFC,-10.609676996200506,1.2,0.6,47.2,52.8
2023-11-05,Olympiakos,PAOK,2,4,6.0,5.0,5.0,5.0,7.0,2.0,3.0,2.0,0.0,0.0,1.53,3.8,7.0,1.58,3.96,6.13,,Super League,,20231105_Olympiakos_PAOK,33.84810409829197,1.22,1.25,47.9,52.1
