date,home_team,away_team,team,scorer,minute,own_goal,penalty,MATCH_ID
2018-07-02,BRA,MEX,BRA,Neymar,51.0,False,False,20180702_BRA_MEX
2018-07-02,BRA,MEX,BRA,Roberto Firmino,88.0,False,False,20180702_BRA_MEX
2018-07-03,COL,ENG,ENG,Harry Kane,57.0,False,True,20180703_COL_ENG
2018-07-03,COL,ENG,COL,Yerry Mina,90.0,False,False,20180703_COL_ENG
2018-07-03,SWE,SUI,SWE,Emil Forsberg,66.0,False,False,20180703_SWE_SUI
2018-07-06,BRA,BEL,BEL,Fernandinho,13.0,True,False,20180706_BRA_BEL
2018-07-06,BRA,BEL,BEL,Kevin De Bruyne,31.0,False,False,20180706_BRA_BEL
2018-07-06,BRA,BEL,BRA,Renato Augusto,76.0,False,False,20180706_BRA_BEL
2018-07-06,URU,FRA,FRA,Raphaël Varane,40.0,False,False,20180706_URU_FRA
2018-07-06,URU,FRA,FRA,Antoine Griezmann,61.0,False,False,20180706_URU_FRA
2018-07-07,RUS,CRO,RUS,Denis Cheryshev,31.0,False,False,20180707_RUS_CRO
2018-07-07,RUS,CRO,CRO,Andrej Kramarić,39.0,False,False,20180707_RUS_CRO
2018-07-07,RUS,CRO,CRO,Domagoj Vida,101.0,False,False,20180707_RUS_CRO
2018-07-07,RUS,CRO,RUS,Mário Fernandes,115.0,False,False,20180707_RUS_CRO
2018-07-07,SWE,ENG,ENG,Harry Maguire,30.0,False,False,20180707_SWE_ENG
2018-07-07,SWE,ENG,ENG,Dele Alli,59.0,False,False,20180707_SWE_ENG
2018-07-10,FRA,BEL,FRA,Samuel Umtiti,51.0,False,False,20180710_FRA_BEL
2018-07-11,CRO,ENG,ENG,Kieran Trippier,5.0,False,False,20180711_CRO_ENG
2018-07-11,CRO,ENG,CRO,Ivan Perišić,68.0,False,False,20180711_CRO_ENG
2018-07-11,CRO,ENG,CRO,Mario Mandžukić,109.0,False,False,20180711_CRO_ENG
2018-07-14,BEL,ENG,BEL,Thomas Meunier,4.0,False,False,20180714_BEL_ENG
2018-07-14,BEL,ENG,BEL,Eden Hazard,82.0,False,False,20180714_BEL_ENG
2018-07-15,FRA,CRO,FRA,Mario Mandžukić,18.0,True,False,20180715_FRA_CRO
2018-07-15,FRA,CRO,CRO,Ivan Perišić,28.0,False,False,20180715_FRA_CRO
2018-07-15,FRA,CRO,FRA,Antoine Griezmann,38.0,False,True,20180715_FRA_CRO
2018-07-15,FRA,CRO,FRA,Paul Pogba,59.0,False,False,20180715_FRA_CRO
2018-07-15,FRA,CRO,FRA,Kylian Mbappé,65.0,False,False,20180715_FRA_CRO
2018-07-15,FRA,CRO,CRO,Mario Mandžukić,69.0,False,False,20180715_FRA_CRO
2018-09-06,ARM,LIE,ARM,Marcos Pizzelli,30.0,False,False,20180906_ARM_LIE
2018-09-06,ARM,LIE,LIE,Sandro Wolfinger,33.0,False,False,20180906_ARM_LIE
2018-09-06,ARM,LIE,ARM,Tigran Barseghyan,76.0,False,False,20180906_ARM_LIE
2018-09-06,CZE,UKR,CZE,Patrik Schick,4.0,False,False,20180906_CZE_UKR
2018-09-06,CZE,UKR,UKR,Yevhen Konoplyanka,45.0,False,False,20180906_CZE_UKR
2018-09-06,CZE,UKR,UKR,Oleksandr Zinchenko,90.0,False,False,20180906_CZE_UKR
2018-09-06,GIB,MKD,MKD,Ivan Trichkovski,19.0,False,False,20180906_GIB_MKD
2018-09-06,GIB,MKD,MKD,Ezgjan Alioski,35.0,False,False,20180906_GIB_MKD
2018-09-06,KAZ,GEO,GEO,Giorgi Chakvetadze,69.0,False,False,20180906_KAZ_GEO
2018-09-06,KAZ,GEO,GEO,Serhiy Malyi,74.0,True,False,20180906_KAZ_GEO
2018-09-06,NOR,CYP,NOR,Stefan Johansen,21.0,False,False,20180906_NOR_CYP
2018-09-06,NOR,CYP,NOR,Stefan Johansen,42.0,False,False,20180906_NOR_CYP
2018-09-06,SVN,BUL,BUL,Bozhidar Kraev,3.0,False,False,20180906_SVN_BUL
2018-09-06,SVN,BUL,SVN,Miha Zajc,40.0,False,False,20180906_SVN_BUL
2018-09-06,SVN,BUL,BUL,Bozhidar Kraev,59.0,False,False,20180906_SVN_BUL
2018-09-06,WAL,IRL,WAL,Tom Lawrence,6.0,False,False,20180906_WAL_IRL
2018-09-06,WAL,IRL,WAL,Gareth Bale,18.0,False,False,20180906_WAL_IRL
2018-09-06,WAL,IRL,WAL,Aaron Ramsey,37.0,False,False,20180906_WAL_IRL
2018-09-06,WAL,IRL,WAL,Connor Roberts,55.0,False,False,20180906_WAL_IRL
